image_id,x_1,y_1,width,height,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,"rightmouth_x, rightmouth_y"
data/flickr/3/image00035.jpg,62,64,348,348,209.0,150.0,302.0,186.0,277.0,268.0,180.968093872,294.279418945,
data/flickr/3/image00032.jpg,110,25,88,88,161.0,57.0,,,167.0,75.0,155.0,93.0,
data/flickr/3/image00168.jpg,63,128,262,262,148.0,203.0,234.0,207.0,219.053909302,272.376251221,155.0,302.0,
data/flickr/3/image00179.jpg,181,341,276,276,336.0,426.0,,,368.0,489.0,333.0,537.0,
data/flickr/3/image00179.jpg,323,334,262,262,,,,,416.956268311,478.40246582,437.438354492,527.169311523,
data/flickr/3/image00091.jpg,312,172,192,192,406.050079346,236.201416016,,,455.0,273.0,417.623321533,312.466369629,
data/flickr/3/image00102.jpg,25,62,277,277,143.0,123.0,223.0,173.0,159.983505249,209.756149292,104.0,234.0,
data/flickr/3/image00104.jpg,161,141,184,184,229.0,196.0,291.0,198.0,274.0,218.0,239.073242188,262.750366211,
data/flickr/3/image00112.jpg,340,50,211,211,437.0,107.0,,,493.0,149.0,448.0,194.0,
data/flickr/3/image00120.jpg,132,65,201,201,238.0,102.0,,,270.0,161.0,218.0,182.0,
data/flickr/3/image00122.jpg,88,52,650,650,334.0,229.0,526.0,249.0,486.200958252,406.574981689,333.0,510.0,
data/flickr/3/image00137.jpg,247,87,208,208,329.142364502,142.331832886,,,391.831085205,188.217483521,339.198425293,233.609863281,
data/flickr/3/image00143.jpg,420,300,985,985,889.0,545.0,,,1147.0,829.0,843.0,960.0,
data/flickr/3/image00144.jpg,160,223,645,645,333.0,450.0,571.996398926,391.203582764,472.652923584,545.463684082,404.7784729,709.596435547,
data/flickr/3/image00158.jpg,121,85,382,382,308.0,198.0,,,373.0,299.0,321.0,380.0,
data/flickr/3/image00180.jpg,167,101,189,189,238.0,161.0,281.0,156.0,296.0,203.0,249.0,240.0,
data/flickr/3/image00182.jpg,396,46,417,417,581.0,152.0,,,699.0,249.0,612.0,340.0,
data/flickr/3/image00188.jpg,33,168,112,112,,,,,107.937507629,236.794509888,84.0,252.0,
